id,Manufacturer,URL,Model,Model Variant,CarStatus,Year,Price,Engine Size,ValuationPercentage,ValuationRange,Mileage,Body Type,Transmission,Fuel,Color,Doors,Reg,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,NumberReserved,DateCarAdded,DaysAdded
9,Lexus,https://www.cargiant.co.uk/car/Lexus/IS-300H/RE20DJJ,IS 300H,,AVAILABLE IN 5 DAYS,2020,17799,2.5,,,54734,Saloon,Auto,Hybrid,Met Bronze,N/A,RE20DJJ,16:13 21/09/2023,0,,0,0,2023-09-21,0.0
208,Mercedes,https://www.cargiant.co.uk/car/Mercedes/CLA/SJ18UYB,CLA180,Sport,AVAILABLE IN 4 DAYS,2018,12999,1.6,,,78677,Saloon,Manual,Petrol,White,N/A,SJ18UYB,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
156,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/LT66MUO,C220d,AMG Line,AVAILABLE IN 6 DAYS,2016,15499,2.2,,,55231,Saloon,Auto,Diesel,Black,N/A,LT66MUO,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
157,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C350e/AF68ODU,C350e,Sport,AVAILABLE IN 5 DAYS,2018,15999,2.0,,,62101,Saloon,Auto,Hybrid,Blue,N/A,AF68ODU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
161,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C350e/WP16FVU,C350e,Sport Premium Plus,AVAILABLE IN 5 DAYS,2016,17999,2.0,,,34340,Saloon,Auto,Hybrid,White,N/A,WP16FVU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
164,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/WT19KUN,C200,AMG Line Premium,AVAILABLE IN 5 DAYS,2019,18499,1.5,,,64764,Saloon,Auto,Petrol,Silver,N/A,WT19KUN,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
165,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/LO19YZT,C200D,AMG Line,AVAILABLE IN 5 DAYS,2019,18499,1.6,,,55260,Saloon,Manual,Diesel,Met Grey,N/A,LO19YZT,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
171,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/KM69GPO,C200,Sport,AVAILABLE IN 4 DAYS,2019,19499,1.5,,,43711,Saloon,Auto,Petrol,Black,N/A,KM69GPO,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
172,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/KW20VJX,C200,EQ Boost Sport,AVAILABLE IN 4 DAYS,2020,19999,1.5,,,43562,Saloon,Auto,Petrol,Black,N/A,KW20VJX,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
179,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C300/LN18XMU,C300,AMG Line Premium,AVAILABLE IN 5 DAYS,2018,20999,2.0,,,46128,Coupe,Auto,Petrol,Black,N/A,LN18XMU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
149,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/KE69EYL,E220d,AMG Line,Reserved,2020,26499,2.0,,,16500,Coupe,Auto,Diesel,Silver,N/A,KE69EYL,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
151,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/BU70KNM,E220d,AMG Line Premium,AVAILABLE IN 5 DAYS,2020,27999,2.0,,,26820,Coupe,Auto,Diesel,Met Blue,N/A,BU70KNM,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
