id,Manufacturer,Model,Year,Price,Body Type,Transmission,Fuel,Color,Mileage,Doors,Reg,URL,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,CarStatus,NumberReserved
337,Lexus,IS 300H,2019,16499,Saloon,Auto,Hybrid,Blue Pearl,56766,N/A,LP19WYF,https://www.cargiant.co.uk/car/Lexus/IS-300H/LP19WYF,2023-09-09 12:19:51.761915,0,,0,AVAILABLE IN 5 DAYS,0
338,Lexus,IS 300H,2019,16799,Saloon,Auto,Hybrid,Silver,53539,N/A,LP19WYB,https://www.cargiant.co.uk/car/Lexus/IS-300H/LP19WYB,2023-09-09 12:19:51.764916,0,,0,,0
339,Lexus,IS 300H,2020,16999,Saloon,Auto,Hybrid,Met Grey,63586,N/A,YG20HRN,https://www.cargiant.co.uk/car/Lexus/IS-300H/YG20HRN,2023-09-09 12:19:51.768416,0,,0,AVAILABLE IN 2 DAYS,0
341,Lexus,CT 200h,2020,17499,Hatch,Auto,Hybrid,Black,20985,5,WN70ONL,https://www.cargiant.co.uk/car/Lexus/CT-200h/WN70ONL,2023-09-09 12:19:51.774414,0,,0,AVAILABLE IN 6 DAYS,0
343,Lexus,CT 200h,2020,17499,Hatch,Auto,Hybrid,Black,20624,5,WN70OOH,https://www.cargiant.co.uk/car/Lexus/CT-200h/WN70OOH,2023-09-09 12:19:51.780916,0,,0,AVAILABLE IN 6 DAYS,0
344,Lexus,CT 200h,2020,17799,Hatch,Auto,Hybrid,Black,25365,5,DA20CUC,https://www.cargiant.co.uk/car/Lexus/CT-200h/DA20CUC,2023-09-09 12:19:51.783916,0,,0,,0
218,Mercedes,E220,2015,12999,Saloon,Auto,Diesel,White,64951,N/A,AV65HBO,https://www.cargiant.co.uk/car/Mercedes/E220/AV65HBO,2023-09-09 12:19:51.379414,0,,0,AVAILABLE IN 5 DAYS,0
221,Mercedes,C200,2015,13999,Saloon,Auto,Diesel,Black,62276,N/A,YF65PFA,https://www.cargiant.co.uk/car/Mercedes/C200/YF65PFA,2023-09-09 12:19:51.387917,0,,0,AVAILABLE IN 6 DAYS,0
223,Mercedes,C350e,2017,14499,Saloon,Auto,Hybrid,Blue,72786,N/A,WN67XGT,https://www.cargiant.co.uk/car/Mercedes/C350e/WN67XGT,2023-09-09 12:19:51.393916,0,,0,,0
224,Mercedes,CLA,2016,14799,Saloon,Manual,Diesel,Met Grey,61039,N/A,PX66WPN,https://www.cargiant.co.uk/car/Mercedes/CLA/PX66WPN,2023-09-09 12:19:51.396915,0,,0,Reserved,0
231,Mercedes,C350e,2018,15799,Saloon,Auto,Hybrid,Blue,65170,N/A,OW18LRN,https://www.cargiant.co.uk/car/Mercedes/C350e/OW18LRN,2023-09-09 12:19:51.416416,0,,0,,0
238,Mercedes,C200,2018,16499,Saloon,Auto,Petrol,Black,63702,N/A,KR68NCZ,https://www.cargiant.co.uk/car/Mercedes/C200/KR68NCZ,2023-09-09 12:19:51.438413,0,,0,AVAILABLE IN 6 DAYS,0
246,Mercedes,GLA,2018,16999,Hatch,Auto,Diesel,Red,33728,5,WR67XDP,https://www.cargiant.co.uk/car/Mercedes/GLA/WR67XDP,2023-09-09 12:19:51.462414,0,,0,,0
248,Mercedes,GLA,2019,17499,Hatch,Manual,Petrol,Mountain Grey,73880,5,OU69PVW,https://www.cargiant.co.uk/car/Mercedes/GLA/OU69PVW,2023-09-09 12:19:51.467915,0,,0,,0
247,Mercedes,C300e,2018,17499,Saloon,Auto,Hybrid,Black,42088,N/A,OV18ZDX,https://www.cargiant.co.uk/car/Mercedes/C300e/OV18ZDX,2023-09-09 12:19:51.465415,0,,0,Reserved,0
250,Mercedes,CLA,2018,17999,Saloon,Manual,Petrol,Silver,28490,N/A,MJ68ABX,https://www.cargiant.co.uk/car/Mercedes/CLA/MJ68ABX,2023-09-09 12:19:51.473915,0,,0,AVAILABLE IN 5 DAYS,0
259,Mercedes,C200,2019,18499,Saloon,Auto,Petrol,Blue,55228,N/A,KP69WYY,https://www.cargiant.co.uk/car/Mercedes/C200/KP69WYY,2023-09-09 12:19:51.501913,0,,0,,0
262,Mercedes,C200,2019,18799,Saloon,Auto,Petrol,Blue,46770,N/A,KT69ODG,https://www.cargiant.co.uk/car/Mercedes/C200/KT69ODG,2023-09-09 12:19:51.510416,0,,0,,0
263,Mercedes,C200,2019,18799,Saloon,Auto,Petrol,Silver,46153,N/A,KM69DXG,https://www.cargiant.co.uk/car/Mercedes/C200/KM69DXG,2023-09-09 12:19:51.513413,0,,0,,0
264,Mercedes,C220,2019,18799,Saloon,Auto,Diesel,Black,76008,N/A,WX19NYS,https://www.cargiant.co.uk/car/Mercedes/C220/WX19NYS,2023-09-09 12:19:51.516414,0,,0,AVAILABLE IN 5 DAYS,0
266,Mercedes,C200,2019,18999,Saloon,Auto,Petrol,Grey,46220,N/A,KP69WZY,https://www.cargiant.co.uk/car/Mercedes/C200/KP69WZY,2023-09-09 12:19:51.521913,0,,0,,0
267,Mercedes,C220,2016,18999,Coupe,Auto,Diesel,Silver,48787,N/A,LJ66VUE,https://www.cargiant.co.uk/car/Mercedes/C220/LJ66VUE,2023-09-09 12:19:51.524915,0,,0,,0
271,Mercedes,C200,2019,18999,Saloon,Auto,Petrol,Silver,40730,N/A,KP69LFJ,https://www.cargiant.co.uk/car/Mercedes/C200/KP69LFJ,2023-09-09 12:19:51.537414,0,,0,,0
272,Mercedes,C180,2019,18999,Saloon,Auto,Petrol,White,39113,N/A,WN69DZZ,https://www.cargiant.co.uk/car/Mercedes/C180/WN69DZZ,2023-09-09 12:19:51.539915,0,,0,,0
274,Mercedes,CLA,2017,18999,Saloon,Auto,Diesel,Silver,31424,N/A,LT67HGJ,https://www.cargiant.co.uk/car/Mercedes/CLA/LT67HGJ,2023-09-09 12:19:51.546415,0,,0,,0
268,Mercedes,CLA,2018,18999,Saloon,Auto,Petrol,Met Grey,18024,N/A,HJ68JVH,https://www.cargiant.co.uk/car/Mercedes/CLA/HJ68JVH,2023-09-09 12:19:51.527915,0,,0,AVAILABLE IN 6 DAYS,0
277,Mercedes,C200,2019,19499,Saloon,Auto,Petrol,Black,43711,N/A,KM69GPO,https://www.cargiant.co.uk/car/Mercedes/C200/KM69GPO,2023-09-09 12:19:51.555415,0,,0,AVAILABLE IN 6 DAYS,0
279,Mercedes,C220,2020,19799,Saloon,Auto,Diesel,Met Grey,31738,N/A,MJ70OVC,https://www.cargiant.co.uk/car/Mercedes/C220/MJ70OVC,2023-09-09 12:19:51.561414,0,,0,,0
280,Mercedes,C220,2019,19999,Saloon,Auto,Diesel,Polar White,55237,N/A,LR69OTA,https://www.cargiant.co.uk/car/Mercedes/C220/LR69OTA,2023-09-09 12:19:51.564414,0,,0,AVAILABLE IN 6 DAYS,0
