id,Manufacturer,Model,Year,Price,Body Type,Transmission,Fuel,Color,Mileage,Doors,Reg,URL,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,CarStatus,NumberReserved,ValuationPercentage,ValuationRange
37,BMW,420D,2017,15799,Coupe,Auto,Diesel,Blue,71178,N/A,HN67LXH,https://www.cargiant.co.uk/car/BMW/420D/HN67LXH,2023-09-05 15:33:26.299811,0,,0,Sold,0,60.0,£13500 - £17300
483,BMW,318i,2018,15999,Saloon,Auto,Petrol,White,40746,N/A,YG18NEF,https://www.cargiant.co.uk/car/BMW/318i/YG18NEF,2023-09-11 17:11:35.120614,0,,0,Sold,0,73.0,£13300 - £16990
43,BMW,320i,2017,15999,Saloon,Auto,Petrol,Black,31625,N/A,MM17SSV,https://www.cargiant.co.uk/car/BMW/320i/MM17SSV,2023-09-05 15:33:26.308201,0,,0,Sold,0,55.0,£13490 - £17988
45,BMW,330e,2018,15999,Saloon,Auto,Hybrid,Black,80221,N/A,RE18MWL,https://www.cargiant.co.uk/car/BMW/330e/RE18MWL,2023-09-05 15:33:26.310691,0,,0,Sold,0,91.0,£4560 - £17095
312,BMW,X1,2019,15999,SUV,Manual,Diesel,Black,71205,N/A,FH19GXY,https://www.cargiant.co.uk/car/BMW/X1/FH19GXY,2023-09-05 16:15:04.521337,0,,0,Sold,0,35.0,£14000 - £19694
526,BMW,X3,2016,15999,SUV,Auto,Diesel,Black,81210,N/A,BV16NBX,https://www.cargiant.co.uk/car/BMW/X3/BV16NBX,2023-09-13 07:36:31.271782,0,,0,Sold,1,60.0,£12999 - £17995
49,BMW,118i,2018,16299,Hatch,Auto,Petrol,Blue,57033,5,YF18BND,https://www.cargiant.co.uk/car/BMW/118i/YF18BND,2023-09-05 15:33:26.318713,0,,0,Sold,0,111.0,£10999 - £15770
373,BMW,318D,2017,16499,Saloon,Auto,Diesel,White,30952,N/A,YB17LRN,https://www.cargiant.co.uk/car/BMW/318D/YB17LRN,2023-09-07 12:21:22.944926,0,,0,Sold,0,85.0,£13650 - £16999
52,BMW,X2,2019,16499,SUV,Auto,Petrol,Black,86354,N/A,EA19XDP,https://www.cargiant.co.uk/car/BMW/X2/EA19XDP,2023-09-05 15:33:26.325999,0,,0,Sold,1,74.0,£14498 - £17199
60,BMW,320D,2018,16799,Saloon,Auto,Diesel,Black Sapphire,57285,N/A,YD68KHV,https://www.cargiant.co.uk/car/BMW/320D/YD68KHV,2023-09-05 15:33:26.338090,0,,0,Sold,0,85.0,£12250 - £17599
62,BMW,430D,2016,16799,Coupe,Auto,Diesel,White,48471,N/A,DE16UYF,https://www.cargiant.co.uk/car/BMW/430D/DE16UYF,2023-09-05 15:33:26.341147,0,,0,Sold,1,26.0,£15998 - £18995
392,BMW,X2,2019,16799,SUV,Auto,Petrol,Black,51211,N/A,OV19WPF,https://www.cargiant.co.uk/car/BMW/X2/OV19WPF,2023-09-07 16:38:19.938533,0,,0,Sold,1,,£16750 - £22480
71,BMW,118i,2019,16999,Hatch,Auto,Petrol,Blue,43560,5,FE69XST,https://www.cargiant.co.uk/car/BMW/118i/FE69XST,2023-09-05 15:33:26.356424,0,,0,Sold,1,82.0,£2545 - £19990
68,BMW,2 Series Tourer,2019,16999,MPV,Manual,Petrol,Met Grey,30834,N/A,KW69COJ,https://www.cargiant.co.uk/car/BMW/2-Series-Tourer/KW69COJ,2023-09-05 15:33:26.351766,0,,0,Sold,0,,
72,BMW,X1,2019,16999,SUV,Auto,Diesel,Met Grey,64836,N/A,WO68OSD,https://www.cargiant.co.uk/car/BMW/X1/WO68OSD,2023-09-05 15:33:26.358147,0,,0,Sold,1,49.0,£14300 - £19700
82,BMW,530e,2019,17499,Saloon,Auto,Hybrid,Met Grey,83397,N/A,FB19JVZ,https://www.cargiant.co.uk/car/BMW/530e/FB19JVZ,2023-09-05 15:33:26.376708,0,,0,Sold,1,77.0,£1051 - £22350
83,BMW,530e,2018,17499,Saloon,Auto,Hybrid,Met Blue,68337,N/A,RO18YRN,https://www.cargiant.co.uk/car/BMW/530e/RO18YRN,2023-09-05 15:33:26.378525,0,,0,Sold,1,-3.0,£17600 - £20698
80,BMW,X1,2018,17499,SUV,Auto,Diesel,Grey,47093,N/A,HX18SVG,https://www.cargiant.co.uk/car/BMW/X1/HX18SVG,2023-09-05 15:33:26.372975,0,,0,Sold,0,53.0,£13495 - £20994
81,BMW,X2,2019,17499,SUV,Auto,Petrol,White,66435,N/A,AX19FHN,https://www.cargiant.co.uk/car/BMW/X2/AX19FHN,2023-09-05 15:33:26.374577,0,,0,Sold,0,42.0,£15991 - £19499
91,BMW,118D,2019,17999,Hatch,Auto,Diesel,White,39892,5,FL19OPN,https://www.cargiant.co.uk/car/BMW/118D/FL19OPN,2023-09-05 15:33:26.393690,0,,0,Sold,0,45.0,£13495 - £23491
464,BMW,530e,2018,17999,Saloon,Auto,Hybrid,Black,83957,N/A,MA68YMS,https://www.cargiant.co.uk/car/BMW/530e/MA68YMS,2023-09-11 11:10:29.869054,0,,0,Sold,0,,£17994 - £19495
90,BMW,X1,2019,17999,SUV,Auto,Diesel,Blue,45438,N/A,WO19LLW,https://www.cargiant.co.uk/car/BMW/X1/WO19LLW,2023-09-05 15:33:26.391945,0,,0,Sold,0,16.0,£15995 - £27900
368,BMW,X3,2016,17999,SUV,Auto,Diesel,Deep Sea Blue,56910,N/A,WA16VLF,https://www.cargiant.co.uk/car/BMW/X3/WA16VLF,2023-09-07 10:37:03.676077,0,,0,Sold,0,31.0,£16600 - £21028
93,BMW,118i,2020,18299,Hatch,Manual,Petrol,White,23658,5,YH70XNX,https://www.cargiant.co.uk/car/BMW/118i/YH70XNX,2023-09-05 15:33:26.397006,0,,0,Sold,0,44.0,£15350 - £22000
100,BMW,2 Series Tourer,2018,18499,MPV,Auto,Petrol,Mineral White,14053,N/A,YK67HGG,https://www.cargiant.co.uk/car/BMW/2-Series-Tourer/YK67HGG,2023-09-05 15:33:26.409568,0,,0,Sold,0,,
339,BMW,520D,2019,18999,Estate,Auto,Diesel,Blue,77234,N/A,VO69MTU,https://www.cargiant.co.uk/car/BMW/520D/VO69MTU,2023-09-06 10:36:24.540001,0,,0,Sold,1,46.0,£15995 - £22495
112,BMW,X1,2017,18999,SUV,Auto,Diesel,Black,35585,N/A,WP67ADX,https://www.cargiant.co.uk/car/BMW/X1/WP67ADX,14/09/2023,19299,2023-09-05 15:33:26.442203,1,Sold,1,54.0,£15500 - £21950
486,BMW,2 Series Tourer,2018,19499,MPV,Auto,Diesel,Silver,29487,N/A,GL68TDU,https://www.cargiant.co.uk/car/BMW/2-Series-Tourer/GL68TDU,2023-09-12 06:15:26.251067,0,,0,Sold,0,,
151,BMW,530e,2019,22299,Saloon,Auto,Hybrid,Met Grey,65029,N/A,YJ19ZDC,https://www.cargiant.co.uk/car/BMW/530e/YJ19ZDC,08/09/2023,22499,2023-09-05 15:33:26.527575,1,Sold,0,88.0,£1051 - £24990
305,Lexus,UX,2019,20999,SUV,Auto,Hybrid,Black,21973,N/A,BN69UWF,https://www.cargiant.co.uk/car/Lexus/UX/BN69UWF,13/09/2023,21499,2023-09-05 15:33:27.033108,1,Sold,0,,
389,Mercedes,A180,2019,14999,Hatch,Manual,Petrol,White,47636,5,WA19LLT,https://www.cargiant.co.uk/car/Mercedes/A180/WA19LLT,2023-09-07 16:15:39.483169,0,,0,Sold,0,68.0,£1990 - £20990
432,Mercedes,A200,2020,20999,Hatch,Auto,Petrol,White,36154,5,RK20RDU,https://www.cargiant.co.uk/car/Mercedes/A200/RK20RDU,2023-09-08 16:14:15.444247,0,,0,Sold,0,66.0,£18000 - £22495
258,Mercedes,A200,2021,21799,Hatch,Auto,Diesel,Silver,24909,5,KK21GKO,https://www.cargiant.co.uk/car/Mercedes/A200/KK21GKO,2023-09-05 15:33:26.854330,0,,0,Sold,0,35.0,£19499 - £25995
283,Mercedes,GLC,2019,26999,SUV,Auto,Diesel,Red,37211,N/A,GV19BYL,https://www.cargiant.co.uk/car/Mercedes/GLC/GV19BYL,14/09/2023,27299,2023-09-05 15:33:26.924382,1,Sold,1,,
338,Mercedes,GLC,2019,29499,SUV,Auto,Diesel,Black,16082,N/A,WN69OBL,https://www.cargiant.co.uk/car/Mercedes/GLC/WN69OBL,2023-09-06 10:13:03.366237,0,,0,Sold,0,,
